Location,Country,Disease,Species,Feed Language,HM Alert ID,Headline,URL,Issue Date,Alert Tag,SC,SD,CC,CD,RO,Feed Name
Guinea,Guinea,Ebola,Humans,ar,4421675,"PRO/MENA> Ebola update (07): Guinea, research / ¯¤ô_¯¬ôöôã¯¤ ¯¤ôã¯»¯_¯øô_¯Ç (07): ¯¼ô_ô ô_¯¤ ¯Î ôö¯¤ôã¯¬¯_ôö¯Ç",http://promedmail.org/direct.php?id=20160817.4421675,8/17/16 11:03,No Tag,,,,,,ProMED Middle East
Liberia,Liberia,Ebola,Humans,ar,4421675,"PRO/MENA> Ebola update (07): Guinea, research / ¯¤ô_¯¬ôöôã¯¤ ¯¤ôã¯»¯_¯øô_¯Ç (07): ¯¼ô_ô ô_¯¤ ¯Î ôö¯¤ôã¯¬¯_ôö¯Ç",http://promedmail.org/direct.php?id=20160817.4421675,8/17/16 11:03,No Tag,,,,,,ProMED Middle East
Sierra Leone,Sierra Leone,Ebola,Humans,ar,4421675,"PRO/MENA> Ebola update (07): Guinea, research / ¯¤ô_¯¬ôöôã¯¤ ¯¤ôã¯»¯_¯øô_¯Ç (07): ¯¼ô_ô ô_¯¤ ¯Î ôö¯¤ôã¯¬¯_ôö¯Ç",http://promedmail.org/direct.php?id=20160817.4421675,8/17/16 11:03,No Tag,,,,,,ProMED Middle East
Guinea,Guinea,Ebola,Humans,,4415032,"PRO/AH/EDR> Ebola update (53): Guinea, research",http://promedmail.org/direct.php?id=20160814.4415032,8/14/16 6:07,No Tag,,,,,,ProMED Mail
Liberia,Liberia,Ebola,Humans,,4400521,"PRO/AH/EDR> Ebola update (52): funding, research",http://promedmail.org/direct.php?id=20160808.4400521,8/8/16 8:43,No Tag,,,,,,ProMED Mail
Guinea,Guinea,Ebola,Humans,,4400521,"PRO/AH/EDR> Ebola update (52): funding, research",http://promedmail.org/direct.php?id=20160808.4400521,8/8/16 8:43,No Tag,,,,,,ProMED Mail
Sierra Leone,Sierra Leone,Ebola,Humans,,4400521,"PRO/AH/EDR> Ebola update (52): funding, research",http://promedmail.org/direct.php?id=20160808.4400521,8/8/16 8:43,No Tag,,,,,,ProMED Mail
Liberia,Liberia,Ebola,Humans,,4366266,"PRO/AH/EDR> Ebola update (50): Liberia, Sierra Leone, research",http://promedmail.org/direct.php?id=20160724.4366266,7/24/16 19:47,No Tag,,,,,,ProMED Mail
Sierra Leone,Sierra Leone,Ebola,Humans,,4366266,"PRO/AH/EDR> Ebola update (50): Liberia, Sierra Leone, research",http://promedmail.org/direct.php?id=20160724.4366266,7/24/16 19:47,No Tag,,,,,,ProMED Mail
Sierra Leone,Sierra Leone,Ebola,Humans,,4350351,"PRO/AH/EDR> Ebola update (49): Sierra Leone, research, history",http://promedmail.org/direct.php?id=20160717.4350351,7/17/16 9:42,No Tag,,,,,,ProMED Mail
Liberia,Liberia,Ebola,Humans,,4323924,"PRO/AH/EDR> Ebola update (47): Liberia, US preparedness, funding, research",http://promedmail.org/direct.php?id=20160703.4323924,7/3/16 19:20,No Tag,,,,,,ProMED Mail
Liberia,Liberia,Ebola,Humans,,4310569,"PRO/AH/EDR> Ebola update (46): Liberia, Sierra Leone, treatment comment, research, funding",http://promedmail.org/direct.php?id=20160626.4310569,6/26/16 21:22,No Tag,,,,,,ProMED Mail
Sierra Leone,Sierra Leone,Ebola,Humans,,4310569,"PRO/AH/EDR> Ebola update (46): Liberia, Sierra Leone, treatment comment, research, funding",http://promedmail.org/direct.php?id=20160626.4310569,6/26/16 21:22,No Tag,,,,,,ProMED Mail
Liberia,Liberia,Ebola,Humans,fr,4296692,"PRO/FR> Maladie ÌÊ virus Ebola, fin de l'Ì©pidÌ©mie - Liberia (02): (Monrovia)",http://promedmail.org/direct.php?id=20160620.4296692,6/20/16 6:35,No Tag,,,,,,ProMED FranÌ¤ais
Liberia,Liberia,Ebola,Humans,,4296380,"PRO/AH/EDR> Ebola update (45): Liberia, vaccine, treatment, funding, research",http://promedmail.org/direct.php?id=20160619.4296380,6/19/16 11:42,No Tag,,,,,,ProMED Mail
Liberia,Liberia,Ebola,Humans,pt,4278349,"PRO/PORT> Ebola - LibÌ©ria (02), declaraÌ¤Ì£o, fim do surto, OMS/WHO",http://promedmail.org/direct.php?id=20160610.4278349,6/10/16 20:16,Breaking,,,,,,ProMED PortuguÌ»s
Liberia,Liberia,Ebola,Humans,es,4196089,PRO/ESP> Ebola - Liberia: reactivaciÌ_n de infecciÌ_n crÌ_nica latente ,http://promedmail.org/direct.php?id=20160501.4196089,5/1/16 22:59,Breaking,,,,,,ProMED EspaÌ±ol
Liberia,Liberia,Ebola,Humans,,4187854,"PRO/AH/EDR> Ebola update (37): Guinea, Liberia, diagnostics, vaccine, funding, research",http://promedmail.org/direct.php?id=20160427.4187854,4/27/16 20:12,Breaking,,,,,,ProMED Mail
Guinea,Guinea,Ebola,Humans,,4165862,"PRO/AH/EDR> Ebola update (34): Guinea, Liberia, comment, vaccine funding",http://promedmail.org/direct.php?id=20160417.4165862,4/17/16 19:54,Breaking,,,,,,ProMED Mail
Liberia,Liberia,Ebola,Humans,,4165862,"PRO/AH/EDR> Ebola update (34): Guinea, Liberia, comment, vaccine funding",http://promedmail.org/direct.php?id=20160417.4165862,4/17/16 19:54,Breaking,,,,,,ProMED Mail
Mali,Mali,Ebola,Humans,fr,4160522,PRO/FR> Maladie ÌÊ virus Ebola - Alerte maximale - Mali: (Ouest),http://promedmail.org/direct.php?id=20160416.4160522,4/16/16 7:37,No Tag,,,,,,ProMED FranÌ¤ais
Liberia,Liberia,Ebola,Humans,fr,4160423,"PRO/FR> Maladie ÌÊ virus Ebola, cas de la GuinÌ©e et Liberia liÌ©s - Afrique de l'Ouest: (05)",http://promedmail.org/direct.php?id=20160416.4160423,4/16/16 7:33,No Tag,,,,,,ProMED FranÌ¤ais
Guinea,Guinea,Ebola,Humans,,4158203,"PRO/AH/EDR> Ebola update (33): Guinea, Liberia, Sierra Leone, research, funding, vaccine",http://promedmail.org/direct.php?id=20160413.4158203,4/13/16 20:34,Breaking,,,,,,ProMED Mail
Liberia,Liberia,Ebola,Humans,,4158203,"PRO/AH/EDR> Ebola update (33): Guinea, Liberia, Sierra Leone, research, funding, vaccine",http://promedmail.org/direct.php?id=20160413.4158203,4/13/16 20:34,Breaking,,,,,,ProMED Mail
Liberia,Liberia,Ebola,Humans,,4150454,"PRO/AH/EDR> Ebola update (32): Liberia, Guinea, support",http://promedmail.org/direct.php?id=20160410.4150454,4/10/16 17:42,Breaking,,,,,,ProMED Mail
Liberia,Liberia,Ebola,Humans,es,4149748,PRO/ESP> Ebola - Liberia: (MON) (02) nuevos casos ,http://promedmail.org/direct.php?id=20160410.4149748,4/10/16 0:29,Breaking,,,,1,,ProMED EspaÌ±ol
Liberia,Liberia,Ebola,Humans,,4142990,"PRO/AH/EDR> Ebola update (31): Liberia, Guinea re-emergence, research, funding",http://promedmail.org/direct.php?id=20160406.4142990,4/6/16 21:55,No Tag,,,,,,ProMED Mail
Guinea,Guinea,Ebola,Humans,,4142990,"PRO/AH/EDR> Ebola update (31): Liberia, Guinea re-emergence, research, funding",http://promedmail.org/direct.php?id=20160406.4142990,4/6/16 21:55,No Tag,,,,,,ProMED Mail
"Paynesville Zone District, Monrovia, Liberia",Liberia,Ebola,Humans,,4136987,"PRO/AH/EDR> Ebola update (30): Liberia re-emergence, Uganda NOT, RFI",http://promedmail.org/direct.php?id=20160404.4136987,4/4/16 12:08,Breaking,,,,,,ProMED Mail
Liberia,Liberia,Ebola,Humans,pt,4136902,"PRO/PORT> Ebola - LibÌ©ria, casos confirmados",http://promedmail.org/direct.php?id=20160403.4136902,4/3/16 21:29,Breaking,,,,1,,ProMED PortuguÌ»s
"Monrovia, Montserrado, Liberia",Liberia,Ebola,Humans,pt,4136902,"PRO/PORT> Ebola - LibÌ©ria, casos confirmados",http://promedmail.org/direct.php?id=20160403.4136902,4/3/16 21:29,Breaking,,,,1,,ProMED PortuguÌ»s
Guinea,Guinea,Ebola,Humans,fr,4134029,"PRO/FR> Maladie ÌÊ virus Ebola, nouveau bilan - GuinÌ©e (05): (Sud-Est)",http://promedmail.org/direct.php?id=20160403.4134029,4/3/16 6:30,No Tag,,,,,,ProMED FranÌ¤ais
Liberia,Liberia,Ebola,Humans,fr,4134028,"PRO/FR> Maladie ÌÊ virus Ebola, rÌ©surgence - Liberia: (Monrovia)",http://promedmail.org/direct.php?id=20160403.4134028,4/3/16 6:19,No Tag,,,,,,ProMED FranÌ¤ais
"Paynesville Zone District, Monrovia, Liberia",Liberia,Ebola,Humans,,4134878,"PRO/AH/EDR> Ebola update (29): Liberia re-emergence, Guinea contacts, news, RFI",http://promedmail.org/direct.php?id=20160402.4134878,4/2/16 17:02,Breaking,,,,,,ProMED Mail
"Nzerekore, Guinea",Guinea,Ebola,Humans,,4134878,"PRO/AH/EDR> Ebola update (29): Liberia re-emergence, Guinea contacts, news, RFI",http://promedmail.org/direct.php?id=20160402.4134878,4/2/16 17:02,Breaking,,,,,,ProMED Mail
Liberia,Liberia,Ebola,Humans,es,4134370,"PRO/ESP> Ebola - Liberia: (MON) nuevo caso confirmado, OMS",http://promedmail.org/direct.php?id=20160402.4134370,4/2/16 0:13,Breaking,,,,1,,ProMED EspaÌ±ol
"Monrovia, Montserrado, Liberia",Liberia,Ebola,Humans,es,4134370,"PRO/ESP> Ebola - Liberia: (MON) nuevo caso confirmado, OMS",http://promedmail.org/direct.php?id=20160402.4134370,4/2/16 0:13,Breaking,,,,,,ProMED EspaÌ±ol
Guinea,Guinea,Ebola,Humans,,4128527,"PRO/AH/EDR> Ebola update (28): news, research, vaccine",http://promedmail.org/direct.php?id=20160330.4128527,3/30/16 20:43,Breaking,,,,,,ProMED Mail
"Iringa, Tanzania",Tanzania,Ebola,Humans,,4121931,"PRO/AH/EDR> Ebola update (27): Ebola Reston virulence, Africa suspicious deaths RFI, news",http://promedmail.org/direct.php?id=20160327.4121931,3/27/16 17:40,Breaking,,,,,,ProMED Mail
"Old Moshi, Kilimanjaro, Tanzania",Tanzania,Ebola,Humans,,4121931,"PRO/AH/EDR> Ebola update (27): Ebola Reston virulence, Africa suspicious deaths RFI, news",http://promedmail.org/direct.php?id=20160327.4121931,3/27/16 17:40,Breaking,,,,,,ProMED Mail
Liberia,Liberia,Ebola,Humans,es,4116625,PRO/ESP> Ebola - Liberia: cierre de frontera con Guinea por reactivaciÌ_n de brote ,http://promedmail.org/direct.php?id=20160324.4116625,3/24/16 11:09,Breaking,,,,,,ProMED EspaÌ±ol
Guinea,Guinea,Ebola,Humans,es,4116625,PRO/ESP> Ebola - Liberia: cierre de frontera con Guinea por reactivaciÌ_n de brote ,http://promedmail.org/direct.php?id=20160324.4116625,3/24/16 11:09,Breaking,,,,,,ProMED EspaÌ±ol
Guinea,Guinea,Ebola,Humans,,4114807,"PRO/AH/EDR> Ebola update (26): Guinea flare-up, Liberia",http://promedmail.org/direct.php?id=20160324.4114807,3/24/16 5:33,Breaking,,,,,,ProMED Mail
Guinea,Guinea,Ebola,Humans,fr,4112117,"PRO/FR> Maladie ÌÊ virus Ebola, Augmentation des cas de dÌ©cÌ¬s - GuinÌ©e (04): (Sud-Est)",http://promedmail.org/direct.php?id=20160323.4112117,3/23/16 9:03,No Tag,,,,,,ProMED FranÌ¤ais
Guinea,Guinea,Ebola,Humans,fr,4112113,"PRO/FR> Maladie ÌÊ virus Ebola, Risque de FlambÌ©e - GuinÌ©e (03): (Sud-Est)",http://promedmail.org/direct.php?id=20160323.4112113,3/23/16 8:57,No Tag,,,,,,ProMED FranÌ¤ais
Guinea,Guinea,Ebola,Humans,pt,4112307,"PRO/PORT> Ebola - GuinÌ© (02), novos casos confirmados, Ì_bitos, OMS/WHO ",http://promedmail.org/direct.php?id=20160322.4112307,3/22/16 22:41,Breaking,,,,5,,ProMED PortuguÌ»s
Guinea,Guinea,Ebola,Humans,es,4112558,"PRO/ESP> Ebola - Guinea: (02) rebrote, nuevos casos, muertes ",http://promedmail.org/direct.php?id=20160322.4112558,3/22/16 21:18,Breaking,,,,5,,ProMED EspaÌ±ol
Guinea,Guinea,Ebola,Humans,ru,4111981,"PRO/RUS> _Ñ_¡„Û„Ä_±_µ_¦_____µ „_À_ü_«___±___á„Û_µ___ü_µ - _Ô___È_µ_á__„Î, __„Ü_á___¡_____¡„ ___ü„Û„Ä„____ ___±___È_¡ (______„Ü_µ „_È„Ä„à_¡_ü) - _Ò___ü___µ„",http://promedmail.org/direct.php?id=20160322.4111981,3/22/16 16:53,Breaking,,,,,,ProMED _Ê„Ä„„_¼_ü__
Guinea,Guinea,Ebola,Humans,,4107350,"PRO/AH/EDR> Ebola update (25): Guinea flare-up, Liberia, Sierra Leone, research",http://promedmail.org/direct.php?id=20160320.4107350,3/20/16 20:08,Breaking,,,,,,ProMED Mail
Guinea,Guinea,Ebola,Humans,pt,4105855,"PRO/PORT> Ebola - GuinÌ© (NZ), casos confirmados",http://promedmail.org/direct.php?id=20160319.4105855,3/19/16 11:28,Breaking,,,2,0,,ProMED PortuguÌ»s
Sierra Leone,Sierra Leone,Ebola,Humans,fr,4104432,"PRO/FR> Maladie ÌÊ virus Ebola, Fin de l'EpidÌ©mie - Sierra Leone (03): (Nord)",http://promedmail.org/direct.php?id=20160319.4104432,3/19/16 8:25,No Tag,,,,,,ProMED FranÌ¤ais
Guinea,Guinea,Ebola,Humans,fr,4103623,"PRO/FR> Maladie ÌÊ virus Ebola, confirmation - GuinÌ©e (02): (Sud-Est)",http://promedmail.org/direct.php?id=20160319.4103623,3/19/16 8:20,No Tag,,,,,,ProMED FranÌ¤ais
Guinea,Guinea,Ebola,Humans,fr,4101727,"PRO/FR> Maladie ÌÊ virus Ebola, RÌ©surgence Suspecte - GuinÌ©e: (Sud-Est)-ICR",http://promedmail.org/direct.php?id=20160318.4101727,3/18/16 6:25,No Tag,,,,,,ProMED FranÌ¤ais
Guinea,Guinea,Ebola,Humans,es,4103077,PRO/ESP> Ebola - Guinea: (KOR) nuevos casos confirmados ,http://promedmail.org/direct.php?id=20160318.4103077,3/18/16 1:44,Breaking,,,,,,ProMED EspaÌ±ol
"Nzerekore, Guinea",Guinea,Ebola,Humans,es,4103077,PRO/ESP> Ebola - Guinea: (KOR) nuevos casos confirmados ,http://promedmail.org/direct.php?id=20160318.4103077,3/18/16 1:44,Breaking,,,2,,,ProMED EspaÌ±ol
Guinea,Guinea,Ebola,Humans,,4101955,"PRO/AH/EDR> Ebola update (24): Guinea, confirmed",http://promedmail.org/direct.php?id=20160317.4101955,3/17/16 19:47,Breaking,,,,,,ProMED Mail
"Scotland, United Kingdom",United Kingdom,Ebola,Humans,,4064754,"PRO/AH/EDR> Ebola update (19): WHO, relapse in UK (Scotland), prevention, research, funding",http://promedmail.org/direct.php?id=20160302.4064754,3/2/16 20:49,No Tag,,,,,,ProMED Mail
United Kingdom,United Kingdom,Ebola,Humans,es,4048334,"PRO/ESP> Ebola - RU: reingreso tardÌ_o de caso, recaida sintomÌÁtica",http://promedmail.org/direct.php?id=20160224.4048334,2/24/16 22:32,Breaking,,,,,,ProMED EspaÌ±ol
Sierra Leone,Sierra Leone,Ebola,Humans,es,4048334,"PRO/ESP> Ebola - RU: reingreso tardÌ_o de caso, recaida sintomÌÁtica",http://promedmail.org/direct.php?id=20160224.4048334,2/24/16 22:32,Breaking,,,,,,ProMED EspaÌ±ol
Sierra Leone,Sierra Leone,Ebola,Humans,,4047552,"PRO/AH/EDR> Ebola update (17): UK nurse readmitted, EVD survivor complications, research",http://promedmail.org/direct.php?id=20160224.4047552,2/24/16 19:54,No Tag,,,,,,ProMED Mail
Liberia,Liberia,Ebola,Humans,,4047552,"PRO/AH/EDR> Ebola update (17): UK nurse readmitted, EVD survivor complications, research",http://promedmail.org/direct.php?id=20160224.4047552,2/24/16 19:54,No Tag,,,,,,ProMED Mail
Guinea,Guinea,Ebola,Humans,,4047552,"PRO/AH/EDR> Ebola update (17): UK nurse readmitted, EVD survivor complications, research",http://promedmail.org/direct.php?id=20160224.4047552,2/24/16 19:54,No Tag,,,,,,ProMED Mail
Sierra Leone,Sierra Leone,Ebola,Humans,ar,4003270,"PRO/MENA> Ebola update (03): Sierra Leone, updates, research, funding, vaccine / ¯¤ô_¯¬ôöôã¯¤ ¯¤ôã¯»¯_¯øô_¯Ç (3): ¯_ô_¯±¯¤ôãô_ôöô ¯Î ¯¤ôã¯»¯_¯øô_¯Ç¯¤¯»¯Î ¯¤ôã¯¬¯_ôö¯Ç¯Î ¯¤ôã¯»ôÉôöô_ôã¯Î ôö ¯¤ôãôâ¯¤¯_",http://promedmail.org/direct.php?id=20160208.4003270,2/8/16 12:55,No Tag,,,,,,ProMED Middle East
Sierra Leone,Sierra Leone,Ebola,Humans,,4002006,"PRO/AH/EDR> Ebola update (12): Sierra Leone, research, funding, vaccine",http://promedmail.org/direct.php?id=20160207.4002006,2/7/16 18:48,No Tag,,,,,,ProMED Mail
"Pujehun District, Southern Province, Sierra Leone",Sierra Leone,Ebola,Humans,,3990396,"PRO/AH/EDR> Ebola update (11): Sierra Leone, new case, controversy",http://promedmail.org/direct.php?id=20160203.3990396,2/3/16 13:58,No Tag,,,,,,ProMED Mail
Sierra Leone,Sierra Leone,Ebola,Humans,,3981594,"PRO/AH/EDR> Ebola update (10): Sierra Leone, vaccine, funding ",http://promedmail.org/direct.php?id=20160131.3981594,1/31/16 18:03,No Tag,,,,,,ProMED Mail
Sierra Leone,Sierra Leone,Ebola,Humans,,3970963,"PRO/AH/EDR> Ebola update (09): funding, correction",http://promedmail.org/direct.php?id=20160127.3970963,1/27/16 20:11,No Tag,,,,,,ProMED Mail
Guinea,Guinea,Ebola,Humans,,3970963,"PRO/AH/EDR> Ebola update (09): funding, correction",http://promedmail.org/direct.php?id=20160127.3970963,1/27/16 20:11,No Tag,,,,,,ProMED Mail
Sierra Leone,Sierra Leone,Ebola,Humans,pt,3962564,"PRO/PORT> Ebola - Serra Leoa (02), novo caso confirmado, surto familiar",http://promedmail.org/direct.php?id=20160124.3962564,1/24/16 21:40,Breaking,,,2,,,ProMED PortuguÌ»s
Sierra Leone,Sierra Leone,Ebola,Humans,,3962240,"PRO/AH/EDR> Ebola update (08): Sierra Leone, vaccine, research, video ",http://promedmail.org/direct.php?id=20160124.3962240,1/24/16 18:18,No Tag,,,,,,ProMED Mail
Sierra Leone,Sierra Leone,Ebola,Humans,es,3960036,"PRO/ESP> Ebola - S. Leona: nuevo caso, riesgo de reemergencia ",http://promedmail.org/direct.php?id=20160123.3960036,1/23/16 13:58,Breaking,,,2,,,ProMED EspaÌ±ol
